"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units"
"Visalia-Porterville","CA",30415,28410,830,1175,0
"Waco","TX",20242,10662,2980,4300,2300
"Warner Robins","GA",24053,24053,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",416776,347138,309,2685,66644
"Waterloo-Cedar Falls","IA",7296,6786,0,0,510
"Wausau","WI",15186,13129,592,140,1325
"Weirton-Steubenville","WV-OH",682,505,177,0,0
"Wenatchee","WA",10784,10178,225,0,381
"Wheeling","WV-OH",278,278,0,0,0
"Wichita Falls","TX",5688,5643,45,0,0
"Wichita","KS",32286,31837,449,0,0
"Williamsport","PA",363,363,0,0,0
"Wilmington","NC",97370,90772,1770,500,4328
"Winchester","VA-WV",17220,17220,0,0,0
"Winston-Salem","NC",44060,43915,145,0,0
"Worcester","MA",68510,63521,626,1470,2893
"Yakima","WA",11327,10215,1112,0,0
"York-Hanover","PA",34125,32088,0,0,2037
"Youngstown-Warren-Boardman","OH-PA",16691,15631,640,420,0
"Yuba City-Marysville","CA",36195,36195,0,0,0
"Yuma","AZ",28131,21341,0,276,6514
"Abilene","TX",3929,3804,125,0,0
"Akron","OH",42132,40371,198,934,629
"Albany","GA",7687,6737,0,950,0
"Albany-Schenectady-Troy","NY",38206,35337,206,0,2663
"Albuquerque","NM",80571,80571,0,0,0
"Alexandria","LA",6313,6313,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",63343,62135,0,908,300
"Altoona","PA",799,799,0,0,0
"Amarillo","TX",13197,11030,162,1253,752
"Ames","IA",4195,4195,0,0,0
"Anchorage","AK",31112,23344,3561,3468,739
"Anderson","IN",6304,6304,0,0,0
"Anderson","SC",13589,13514,75,0,0
"Ann Arbor","MI",36086,28006,155,304,7621
"Anniston-Oxford","AL",1960,1960,0,0,0
"Appleton","WI",17875,17322,553,0,0
"Asheville","NC",48183,46345,257,186,1395
"Athens-Clarke County","GA",12224,11505,0,0,719
"Atlanta-Sandy Springs-Marietta","GA",782024,607219,5119,1038,168648
"Atlantic City","NJ",27769,25878,1235,656,0
"Auburn-Opelika","AL",9416,6616,0,0,2800
"Augusta-Richmond County","GA-SC",37050,37050,0,0,0
"Austin-Round Rock","TX",169798,154340,504,367,14587
"Bakersfield","CA",85401,84376,275,210,540
"Baltimore-Towson","MD",94636,86904,0,1197,6535
"Bangor","ME",5630,5630,0,0,0
"Barnstable Town","MA",25983,23978,243,1762,0
"Baton Rouge","LA",38911,38911,0,0,0
"Battle Creek","MI",3616,3616,0,0,0
"Bay City","MI",1816,1816,0,0,0
"Beaumont-Port Arthur","TX",8603,8353,0,0,250
"Bellingham","WA",27246,21468,823,1317,3638
"Bend","OR",61920,59941,1249,730,0
"Billings","MT",8537,7387,0,0,1150
"Binghamton","NY",3406,3406,0,0,0
"Birmingham-Hoover","AL",97913,96885,223,0,805
"Bismarck","ND",14095,13052,0,1043,0
"Blacksburg-Christiansburg-Radford","VA",12860,12860,0,0,0
"Bloomington","IN",12199,9176,1619,316,1088
"Bloomington-Normal","IL",15569,15569,0,0,0
"Boise City-Nampa","ID",131598,120291,1436,9284,587
"Boston-Cambridge-Quincy","MA-NH",216220,157819,9151,5794,43456
"Boulder","CO",19415,19415,0,0,0
"Bowling Green","KY",14609,6436,0,224,7949
"Bremerton-Silverdale","WA",23213,23213,0,0,0
"Bridgeport-Stamford-Norwalk","CT",79240,62670,694,12463,3413
"Brownsville-Harlingen","TX",18977,18404,192,0,381
"Brunswick","GA",17354,17354,0,0,0
"Buffalo-Niagara Falls","NY",28354,24094,0,0,4260
"Burlington","NC",12895,11261,0,0,1634
"Burlington-South Burlington","VT",18540,10583,999,694,6264
"Canton-Massillon","OH",20122,19647,0,238,237
"Cape Coral-Fort Myers","FL",334725,230348,404,540,103433
"Carson City","NV",1824,1667,157,0,0
"Casper","WY",5073,5073,0,0,0
"Cedar Rapids","IA",16190,10690,120,1502,3878
"Champaign-Urbana","IL",10964,10964,0,0,0
"Charleston","WV",5768,5768,0,0,0
"Charleston-North Charleston","SC",108842,86745,45,794,21258
"Charlotte-Gastonia-Concord","NC-SC",303159,230530,2751,6271,63607
"Charlottesville","VA",25768,21323,683,314,3448
"Chattanooga","TN-GA",33793,32401,371,534,487
"Cheyenne","WY",16609,12312,0,0,4297
"Chicago-Naperville-Joliet","IL-IN-WI",743055,650821,6930,21301,64003
"Chico","CA",20101,17621,0,822,1658
"Cincinnati-Middletown","OH-KY-IN",158167,146470,577,907,10213
"Clarksville","TN-KY",32317,27481,180,815,3841
"Cleveland","TN",6653,6500,0,153,0
"Cleveland-Elyria-Mentor","OH",107051,104040,601,2410,0
"Coeur d""Alene","ID",36062,31563,488,0,4011
"College Station-Bryan","TX",9637,8897,0,0,740
"Colorado Springs","CO",76162,76162,0,0,0
"Columbia","MO",18496,16951,870,0,675
"Columbia","SC",65691,60764,57,0,4870
"Columbus","GA-AL",15892,15308,584,0,0
"Columbus","IN",4031,4031,0,0,0
"Columbus","OH",187890,166332,1660,11003,8895
"Corpus Christi","TX",16800,16070,730,0,0
"Corvallis","OR",7535,7535,0,0,0
"Cumberland","MD-WV",2610,2610,0,0,0
"Dallas-Fort Worth-Arlington","TX",731110,665832,2112,3721,59445
"Dalton","GA",6951,6913,38,0,0
"Danville","IL",0,0,0,0,0
"Danville","VA",3544,3249,0,0,295
"Davenport-Moline-Rock Island","IA-IL",11080,11080,0,0,0
"Dayton","OH",48459,47864,595,0,0
"Decatur","AL",4942,4942,0,0,0
"Decatur","IL",5155,4750,0,0,405
"Deltona-Daytona Beach-Ormond Beach","FL",131150,85528,181,0,45441
"Denver-Aurora","CO",306902,287272,1325,3766,14539
"Des Moines","IA",67238,61350,1110,0,4778
"Detroit-Warren-Livonia","MI",321922,280066,1500,4879,35477
"Dothan","AL",2738,2738,0,0,0
"Dover","DE",24959,24869,90,0,0
"Dubuque","IA",4870,4674,196,0,0
"Duluth","MN-WI",23037,18666,3457,417,497
"Durham","NC",72991,72471,400,120,0
"Eau Claire","WI",12793,11068,1340,385,0
"El Centro","CA",12302,11373,0,698,231
"El Paso","TX",8558,7943,615,0,0
"Elizabethtown","KY",12009,12009,0,0,0
"Elkhart-Goshen","IN",13970,13970,0,0,0
"Elmira","NY",842,425,0,0,417
"Erie","PA",14567,14393,0,0,174
"Eugene-Springfield","OR",36528,27389,631,0,8508
"Evansville","IN-KY",17210,16058,693,119,340
"Fairbanks","AK",3043,2968,75,0,0
"Fargo","ND-MN",22726,15551,0,0,7175
"Farmington","NM",5489,5489,0,0,0
"Fayetteville","NC",39883,30384,113,0,9386
"Fayetteville-Springdale-Rogers","AR-MO",53033,44971,776,425,6861
"Flagstaff","AZ",17592,17592,0,0,0
"Flint","MI",34583,32099,0,0,2484
"Florence","SC",2220,2220,0,0,0
"Fond du Lac","WI",3943,3172,274,497,0
"Fort Collins-Loveland","CO",50811,44692,1298,2149,2672
"Fort Smith","AR-OK",9737,5982,555,0,3200
"Fort Walton Beach-Crestview-Destin","FL",33569,32197,0,0,1372
"Fort Wayne","IN",36223,35249,556,418,0
"Fresno","CA",75619,63720,0,3191,8708
"Gadsden","AL",1677,1677,0,0,0
"Gainesville","FL",17712,15097,118,0,2497
"Gainesville","GA",28282,26962,0,1320,0
"Glens Falls","NY",8193,7745,0,78,370
"Goldsboro","NC",5646,5646,0,0,0
"Grand Forks","ND-MN",8738,6680,0,0,2058
"Grand Junction","CO",19938,18514,495,929,0
"Grand Rapids-Wyoming","MI",57466,55612,107,255,1492
"Great Falls","MT",1866,1866,0,0,0
"Greeley","CO",65025,59643,143,370,4869
"Green Bay","WI",24774,20546,335,0,3893
"Greensboro-High Point","NC",119178,84651,81,0,34446
"Greenville","NC",14327,12589,1438,0,300
"Greenville","SC",41869,41405,307,0,157
"Gulfport-Biloxi","MS",26778,18868,4988,2324,598
"Hagerstown-Martinsburg","MD-WV",33292,32903,59,180,150
"Hanford-Corcoran","CA",7645,7384,97,164,0
"Harrisburg-Carlisle","PA",27322,26721,601,0,0
"Harrisonburg","VA",8963,7563,1130,0,270
"Hartford-West Hartford-East Hartford","CT",52893,50561,255,0,2077
"Hattiesburg","MS",924,924,0,0,0
"Hickory-Lenoir-Morganton","NC",24084,23884,200,0,0
"Hinesville-Fort Stewart","GA",2486,2375,111,0,0
"Holland-Grand Haven","MI",26296,23333,558,2130,275
"Honolulu","HI",24499,24499,0,0,0
"Hot Springs","AR",1312,1312,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",6166,6166,0,0,0
"Houston-Baytown-Sugar Land","TX",495584,468299,2113,3217,21955
"Huntington-Ashland","WV-KY-OH",423,273,150,0,0
"Huntsville","AL",7498,7048,0,0,450
"Idaho Falls","ID",10719,9976,0,445,298
"Indianapolis","IN",188826,182413,4231,511,1671
"Iowa City","IA",12340,10360,0,0,1980
"Ithaca","NY",2086,1706,0,0,380
"Jackson","MI",4401,4125,0,0,276
"Jackson","MS",47892,46749,0,0,1143
"Jackson","TN",7970,7970,0,0,0
"Jacksonville","FL",239023,234190,333,0,4500
"Jacksonville","NC",13238,9538,0,0,3700
"Janesville","WI",6477,5204,1273,0,0
"Jefferson City","MO",4549,3310,155,184,900
"Johnson City","TN",10550,10430,120,0,0
"Johnstown","PA",477,477,0,0,0
"Jonesboro","AR",5858,5858,0,0,0
"Joplin","MO",1514,1514,0,0,0
"Kalamazoo-Portage","MI",20918,19883,250,785,0
"Kankakee-Bradley","IL",12195,12195,0,0,0
"Kansas City","MO-KS",183608,173077,2696,7102,733
"Kennewick-Richland-Pasco","WA",34910,33147,196,0,1567
"Killeen-Temple-Fort Hood","TX",29434,23676,3109,1434,1215
"Kingsport-Bristol-Bristol","TN-VA",7592,7592,0,0,0
"Kingston","NY",10705,9870,835,0,0
"Knoxville","TN",59042,52792,0,450,5800
"Kokomo","IN",6409,6059,350,0,0
"La Crosse","WI-MN",10744,6255,0,0,4489
"Lafayette","IN",18197,17131,300,766,0
"Lafayette","LA",17328,17328,0,0,0
"Lake Charles","LA",10214,9047,150,154,863
"Lakeland","FL",72882,66002,0,1898,4982
"Lancaster","PA",35639,30703,515,3084,1337
"Lansing-East Lansing","MI",20421,19146,0,0,1275
"Laredo","TX",13141,12879,0,0,262
"Las Cruces","NM",21486,21486,0,0,0
"Las Vegas-Paradise","NV",351620,334846,683,9369,6722
"Lawrence","KS",7114,4321,298,0,2495
"Lawton","OK",1583,1583,0,0,0
"Lebanon","PA",7038,7038,0,0,0
"Lewiston","ID-WA",1464,1464,0,0,0
"Lewiston-Auburn","ME",5219,5219,0,0,0
"Lexington-Fayette","KY",53691,52711,560,217,203
"Lima","OH",1482,1482,0,0,0
"Lincoln","NE",26674,25149,462,0,1063
"Little Rock-North Little Rock","AR",62023,61728,0,295,0
"Logan","UT-ID",9647,8718,0,512,417
"Longview","TX",2720,2720,0,0,0
"Longview","WA",6874,6874,0,0,0
"Los Angeles-Long Beach-Santa Ana","CA",319619,226464,5802,10464,76889
"Louisville","KY-IN",89912,85710,307,449,3446
"Lubbock","TX",21844,12554,1930,0,7360
"Lynchburg","VA",21128,21038,90,0,0
"Macon","GA",15284,8974,2421,3889,0
"Madera","CA",17476,17476,0,0,0
"Madison","WI",77230,57698,3354,2342,13836
"Manchester-Nashua","NH",23586,21342,956,895,393
"Mansfield","OH",6569,5422,0,980,167
"McAllen-Edinburg-Pharr","TX",42073,37174,995,1414,2490
"Medford","OR",31917,30194,1030,288,405
"Memphis","TN-MS-AR",118495,115535,0,0,2960
"Merced","CA",41984,41984,0,0,0
"Miami-Fort Lauderdale-Miami Beach","FL",652494,463862,2081,323,186228
"Michigan City-La Porte","IN",4140,4140,0,0,0
"Midland","TX",2481,2481,0,0,0
"Milwaukee-Waukesha-West Allis","WI",95556,80659,2623,3300,8974
"Minneapolis-St. Paul-Bloomington","MN-WI",407077,360539,1294,7434,37810
"Missoula","MT",3532,1701,154,98,1579
"Mobile","AL",15953,15418,0,0,535
"Modesto","CA",56636,56433,203,0,0
"Monroe","LA",6437,6287,0,0,150
"Monroe","MI",14452,13952,0,0,500
"Montgomery","AL",19963,18539,0,0,1424
"Morgantown","WV",350,350,0,0,0
"Morristown","TN",6707,6547,160,0,0
"Mount Vernon-Anacortes","WA",16248,13403,0,0,2845
"Muncie","IN",3871,3871,0,0,0
"Muskegon-Norton Shores","MI",10215,9444,430,0,341
"Myrtle Beach-Conway-North Myrtle Beach","SC",63451,53730,176,899,8646
"Napa","CA",15369,15369,0,0,0
"Naples-Marco Island","FL",138464,102828,12016,14822,8798
"Nashville-Davidson--Murfreesboro","TN",207394,185945,20819,360,270
"New Haven-Milford","CT",23484,22640,282,562,0
"New Orleans-Metairie-Kenner","LA",78638,76900,1738,0,0
"New York-Northern New Jersey-Long Island","NY-NJ-PA",680969,329902,94566,65818,190683
"Niles-Benton Harbor","MI",2140,2140,0,0,0
"Norwich-New London","CT",21756,20990,55,201,510
"Ocala","FL",57600,56047,1378,175,0
"Ocean City","NJ",24817,17336,3837,1150,2494
"Odessa","TX",2273,2273,0,0,0
"Ogden-Clearfield","UT",66839,57741,1508,7071,519
"Oklahoma City","OK",102755,102140,615,0,0
"Olympia","WA",39820,38872,948,0,0
"Omaha-Council Bluffs","NE-IA",66585,64438,194,0,1953
"Orlando","FL",411083,355514,1068,2634,51867
"Oshkosh-Neenah","WI",12642,12642,0,0,0
"Owensboro","KY",3245,3245,0,0,0
"Oxnard-Thousand Oaks-Ventura","CA",39125,30380,0,0,8745
"Palm Bay-Melbourne-Titusville","FL",104784,88613,394,0,15777
"Panama City-Lynn Haven","FL",33911,19262,724,0,13925
"Parkersburg-Marietta","WV-OH",2034,2034,0,0,0
"Pascagoula","MS",14720,8823,0,438,5459
"Pensacola-Ferry Pass-Brent","FL",53598,52688,579,0,331
"Peoria","IL",20204,16902,1504,647,1151
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",254275,189369,3287,4008,57611
"Phoenix-Mesa-Scottsdale","AZ",1058006,1002759,2273,6441,46533
"Pine Bluff","AR",428,368,60,0,0
"Pittsburgh","PA",120812,84826,1045,2844,32097
"Pittsfield","MA",1730,1730,0,0,0
"Pocatello","ID",5079,5079,0,0,0
"Port St. Lucie-Fort Pierce","FL",136905,124050,0,944,11911
"Portland-South Portland-Biddeford","ME",50845,47301,1248,1214,1082
"Portland-Vancouver-Beaverton","OR-WA",256225,195572,3329,5007,52317
"Poughkeepsie-Newburgh-Middletown","NY",55283,50396,0,1402,3485
"Prescott","AZ",67473,60077,881,881,5634
"Providence-New Bedford-Fall River","RI-MA",51252,48849,415,0,1988
"Provo-Orem","UT",54559,47314,1585,1126,4534
"Pueblo","CO",8258,8258,0,0,0
"Punta Gorda","FL",58276,38386,894,265,18731
"Racine","WI",13072,12497,385,0,190
"Raleigh-Cary","NC",151531,150528,0,0,1003
"Rapid City","SD",18520,10509,326,344,7341
"Reading","PA",15892,13322,0,1660,910
"Redding","CA",14044,13647,164,233,0
"Reno-Sparks","NV",86357,85186,0,539,632
"Richmond","VA",134662,112897,236,0,21529
"Riverside-San Bernardino-Ontario","CA",723655,675027,2186,11442,35000
"Roanoke","VA",16232,16141,91,0,0
"Rochester","MN",26634,24600,0,0,2034
"Rochester","NY",38618,35784,535,915,1384
"Rockford","IL",18461,17730,387,344,0
"Rocky Mount","NC",4926,4602,324,0,0
"Rome","GA",4692,4692,0,0,0
"Sacramento--Arden-Arcade--Roseville","CA",369213,322462,2525,120,44106
"Saginaw-Saginaw Township North","MI",6087,5807,280,0,0
"Salem","OR",41119,26943,869,1351,11956
"Salinas","CA",41837,41837,0,0,0
"Salisbury","MD",11770,7385,0,0,4385
"Salt Lake City","UT",103297,91113,2623,3829,5732
"San Angelo","TX",1850,1706,144,0,0
"San Antonio","TX",170622,155224,1330,0,14068
"San Diego-Carlsbad-San Marcos","CA",265604,231820,589,1983,31212
"San Francisco-Oakland-Fremont","CA",343813,221791,3440,4369,114213
"San Jose-Sunnyvale-Santa Clara","CA",90031,64638,589,0,24804
"San Luis Obispo-Paso Robles","CA",38168,33603,129,248,4188
"Sandusky","OH",2526,2223,0,0,303
"Santa Barbara-Santa Maria-Goleta","CA",30583,22783,522,3794,3484
"Santa Cruz-Watsonville","CA",25469,23952,264,0,1253
"Santa Fe","NM",5001,4901,0,0,100
"Santa Rosa-Petaluma","CA",30263,26472,0,287,3504
"Sarasota-Bradenton-Venice","FL",226970,191107,603,5531,29729
"Savannah","GA",31999,31700,0,156,143
"Scranton--Wilkes-Barre","PA",5544,4896,0,648,0
"Seattle-Tacoma-Bellevue","WA",302929,237417,7660,9162,48690
"Sheboygan","WI",4393,3884,189,320,0
"Sherman-Denison","TX",3726,3197,0,0,529
"Shreveport-Bossier City","LA",25309,25215,0,94,0
"Sioux City","IA-NE-SD",3938,3831,0,107,0
"Sioux Falls","SD",27308,23440,338,683,2847
"South Bend-Mishawaka","IN-MI",19647,17119,0,0,2528
"Spartanburg","SC",19630,19630,0,0,0
"Spokane","WA",31191,27711,2467,336,677
"Springfield","IL",9843,8272,888,0,683
"Springfield","MA",19672,18894,331,0,447
"Springfield","MO",41291,40182,448,165,496
"Springfield","OH",5015,5015,0,0,0
"St. Cloud","MN",19342,18059,251,203,829
"St. George","UT",44711,44210,501,0,0
"St. Joseph","MO-KS",2147,1607,540,0,0
"St. Louis","MO-IL",199737,192016,2669,730,4322
"State College","PA",6915,6330,585,0,0
"Stockton","CA",122091,120948,0,367,776
"Sumter","SC",5393,4509,236,0,648
"Syracuse","NY",15695,14813,150,586,146
"Tallahassee","FL",19179,15565,434,0,3180
"Tampa-St. Petersburg-Clearwater","FL",352345,302734,3809,2041,43761
"Terre Haute","IN",4738,2276,170,0,2292
"Texarkana","TX-TexarkanaAR",3300,3010,0,0,290
"Toledo","OH",26653,26021,632,0,0
"Topeka","KS",14589,13889,0,700,0
"Trenton-Ewing","NJ",6264,6264,0,0,0
"Tucson","AZ",165767,145979,393,0,19395
"Tulsa","OK",46908,46642,266,0,0
"Tuscaloosa","AL",11486,9382,1729,0,375
"Tyler","TX",6945,6529,0,0,416
"Utica-Rome","NY",1269,1269,0,0,0
"Valdosta","GA",9590,9390,0,0,200
"Vallejo-Fairfield","CA",35912,35158,264,248,242
"Vero Beach","FL",42671,36852,210,1294,4315
"Victoria","TX",2187,2187,0,0,0
"Vineland-Millville-Bridgeton","NJ",3357,3357,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",108434,94804,1593,254,11783
"Visalia-Porterville","CA",28395,26804,415,1176,0
"Waco","TX",21867,8405,312,0,13150
"Warner Robins","GA",14924,14924,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",338024,307802,110,3890,26222
"Waterloo-Cedar Falls","IA",9338,9338,0,0,0
"Wausau","WI",12623,12401,222,0,0
"Weirton-Steubenville","WV-OH",1148,1148,0,0,0
"Wenatchee","WA",7933,7564,0,0,369
"Wheeling","WV-OH",195,195,0,0,0
"Wichita Falls","TX",2531,2531,0,0,0
"Wichita","KS",30194,29607,587,0,0
"Williamsport","PA",315,315,0,0,0
"Wilmington","NC",79531,76289,807,990,1445
"Winchester","VA-WV",27087,27087,0,0,0
"Winston-Salem","NC",40581,34222,0,0,6359
"Worcester","MA",50659,47601,250,2261,547
"Yakima","WA",9843,9675,168,0,0
"York-Hanover","PA",20486,19984,0,0,502
"Youngstown-Warren-Boardman","OH-PA",21097,17980,260,2395,462
"Yuba City-Marysville","CA",34818,34818,0,0,0
"Yuma","AZ",21046,21046,0,0,0
"Abilene","TX",1120,1120,0,0,0
"Akron","OH",48154,46671,0,679,804
"Albany","GA",6667,6243,424,0,0
"Albany-Schenectady-Troy","NY",30198,28108,958,0,1132
"Albuquerque","NM",70485,70485,0,0,0
"Alexandria","LA",12812,12712,100,0,0
"Allentown-Bethlehem-Easton","PA-NJ",54970,53948,274,448,300
"Altoona","PA",1216,386,80,0,750
"Amarillo","TX",7757,7757,0,0,0
"Ames","IA",9035,5306,395,0,3334
"Anchorage","AK",29220,25805,1065,0,2350
"Anderson","IN",5049,4731,0,0,318
"Anderson","SC",16125,16000,125,0,0
"Ann Arbor","MI",35236,29451,0,304,5481
"Anniston-Oxford","AL",2065,2065,0,0,0
"Appleton","WI",32227,31511,716,0,0
"Asheville","NC",47210,44575,137,2048,450
"Athens-Clarke County","GA",14664,14664,0,0,0
"Atlanta-Sandy Springs-Marietta","GA",751891,694271,4731,2960,49929
"Atlantic City","NJ",23951,23850,101,0,0
"Auburn-Opelika","AL",10355,10355,0,0,0
"Augusta-Richmond County","GA-SC",42314,42314,0,0,0
"Austin-Round Rock","TX",197058,149695,2246,139,44978
"Bakersfield","CA",81783,80876,421,0,486
"Baltimore-Towson","MD",111549,78625,0,598,32326
"Bangor","ME",5135,4811,0,324,0
"Barnstable Town","MA",24905,23745,0,1160,0
"Baton Rouge","LA",44824,39172,30,273,5349
"Battle Creek","MI",4013,4013,0,0,0
"Bay City","MI",503,503,0,0,0
"Beaumont-Port Arthur","TX",11546,11546,0,0,0
"Bellingham","WA",32834,25797,969,288,5780
"Bend","OR",70460,66205,1206,3049,0
"Billings","MT",12897,8491,0,512,3894
"Binghamton","NY",1561,1561,0,0,0
"Birmingham-Hoover","AL",91098,91098,0,0,0
"Bismarck","ND",11784,11192,0,592,0
"Blacksburg-Christiansburg-Radford","VA",10505,10255,250,0,0
"Bloomington","IN",12144,9159,1259,237,1489
"Bloomington-Normal","IL",7988,5649,0,677,1662
"Boise City-Nampa","ID",126018,117172,1829,6410,607
"Boston-Cambridge-Quincy","MA-NH",230077,155358,9851,3576,61292
"Boulder","CO",23845,23604,241,0,0
"Bowling Green","KY",27933,12052,145,898,14838
"Bremerton-Silverdale","WA",24173,23998,175,0,0
"Bridgeport-Stamford-Norwalk","CT",76279,68625,170,700,6784
"Brownsville-Harlingen","TX",20946,20251,186,0,509
"Brunswick","GA",45998,19998,0,0,26000
"Buffalo-Niagara Falls","NY",30898,30378,520,0,0
"Burlington","NC",8579,8579,0,0,0
"Burlington-South Burlington","VT",11984,9860,1002,549,573
"Canton-Massillon","OH",20495,19940,0,318,237
"Cape Coral-Fort Myers","FL",209035,169676,1217,180,37962
"Carson City","NV",2748,2748,0,0,0
"Casper","WY",5115,5115,0,0,0
"Cedar Rapids","IA",14438,10584,914,1269,1671
"Champaign-Urbana","IL",12000,10925,0,0,1075
"Charleston","WV",4108,4108,0,0,0
"Charleston-North Charleston","SC",100005,96600,0,524,2881
"Charlotte-Gastonia-Concord","NC-SC",246146,236253,1181,1467,7245
"Charlottesville","VA",31675,22524,766,314,8071
"Chattanooga","TN-GA",31133,30288,179,222,444
"Cheyenne","WY",5849,5259,175,415,0
"Chicago-Naperville-Joliet","IL-IN-WI",795293,686331,4800,20696,83466
"Chico","CA",14866,14296,570,0,0
"Cincinnati-Middletown","OH-KY-IN",164657,155798,830,2518,5511
"Clarksville","TN-KY",12541,11193,90,0,1258
"Cleveland","TN",6267,6157,110,0,0
"Cleveland-Elyria-Mentor","OH",123026,117015,1244,813,3954
"Coeur d""Alene","ID",34369,33306,0,581,482
"College Station-Bryan","TX",8955,8955,0,0,0
"Colorado Springs","CO",94981,94981,0,0,0
"Columbia","MO",25165,21468,697,0,3000
"Columbia","SC",67125,63218,0,0,3907
"Columbus","GA-AL",17924,16895,1029,0,0
"Columbus","IN",4758,4758,0,0,0
"Columbus","OH",201318,182239,595,1011,17473
"Corpus Christi","TX",17526,17213,313,0,0
"Corvallis","OR",7293,7293,0,0,0
"Cumberland","MD-WV",2412,2412,0,0,0
"Dallas-Fort Worth-Arlington","TX",719229,698134,2007,322,18766
"Dalton","GA",7474,7474,0,0,0
"Danville","IL",83,83,0,0,0
"Danville","VA",3615,3615,0,0,0
"Davenport-Moline-Rock Island","IA-IL",11586,11041,545,0,0
"Dayton","OH",42633,34651,334,4194,3454
"Decatur","AL",3654,3654,0,0,0
"Decatur","IL",5176,4771,0,0,405
"Deltona-Daytona Beach-Ormond Beach","FL",83196,77530,0,0,5666
"Denver-Aurora","CO",314356,275498,1661,6284,30913
"Des Moines","IA",69629,67676,456,0,1497
"Detroit-Warren-Livonia","MI",306940,259525,1190,4793,41432
"Dothan","AL",2649,2649,0,0,0
"Dover","DE",24091,20851,0,0,3240
"Dubuque","IA",4399,3984,415,0,0
"Duluth","MN-WI",19030,18612,257,0,161
"Durham","NC",79119,71148,269,0,7702
"Eau Claire","WI",14620,12918,1380,0,322
"El Centro","CA",32958,32313,0,414,231
"El Paso","TX",8365,5086,0,3279,0
"Elizabethtown","KY",12071,10391,180,0,1500
"Elkhart-Goshen","IN",17390,13972,793,0,2625
"Elmira","NY",974,557,0,0,417
"Erie","PA",5860,5686,0,0,174
"Eugene-Springfield","OR",25619,24122,1209,288,0
"Evansville","IN-KY",18471,18245,90,136,0
"Fairbanks","AK",5691,4496,590,605,0
"Fargo","ND-MN",25551,20638,313,550,4050
"Farmington","NM",4353,4353,0,0,0
"Fayetteville","NC",41527,28197,0,0,13330
"Fayetteville-Springdale-Rogers","AR-MO",74192,43559,1360,2257,27016
"Flagstaff","AZ",13623,13623,0,0,0
"Flint","MI",30786,30786,0,0,0
"Florence","SC",2358,2358,0,0,0
"Fond du Lac","WI",3156,3156,0,0,0
"Fort Collins-Loveland","CO",35061,32348,548,1103,1062
"Fort Smith","AR-OK",7690,6853,694,143,0
"Fort Walton Beach-Crestview-Destin","FL",26492,26074,0,165,253
"Fort Wayne","IN",35042,35042,0,0,0
"Fresno","CA",91244,79685,1824,4268,5467
"Gadsden","AL",1867,1867,0,0,0
"Gainesville","FL",16535,14195,0,161,2179
"Gainesville","GA",24915,24440,0,0,475
"Glens Falls","NY",9068,8514,360,78,116
"Goldsboro","NC",6394,6268,126,0,0
"Grand Forks","ND-MN",1781,1781,0,0,0
"Grand Junction","CO",18237,18014,223,0,0
"Grand Rapids-Wyoming","MI",60515,55529,0,0,4986
"Great Falls","MT",2932,2932,0,0,0
"Greeley","CO",62938,53642,278,6314,2704
"Green Bay","WI",22865,18779,1625,1325,1136
"Greensboro-High Point","NC",74754,74354,0,0,400
"Greenville","NC",11951,9969,382,0,1600
"Greenville","SC",44354,43978,219,0,157
"Gulfport-Biloxi","MS",14452,11892,43,502,2015
"Hagerstown-Martinsburg","MD-WV",36463,34393,759,135,1176
"Hanford-Corcoran","CA",5546,4961,0,164,421
"Harrisburg-Carlisle","PA",18869,18444,0,425,0
"Harrisonburg","VA",8382,7492,890,0,0
"Hartford-West Hartford-East Hartford","CT",50667,49339,279,0,1049
"Hattiesburg","MS",1251,1251,0,0,0
"Hickory-Lenoir-Morganton","NC",22986,22986,0,0,0
"Hinesville-Fort Stewart","GA",2887,2887,0,0,0
"Holland-Grand Haven","MI",30091,24105,1196,2099,2691
"Honolulu","HI",59638,35704,0,2898,21036
"Hot Springs","AR",1312,1312,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",9005,9005,0,0,0
"Houston-Baytown-Sugar Land","TX",518254,471105,1064,0,46085
"Huntington-Ashland","WV-KY-OH",822,822,0,0,0
"Huntsville","AL",11469,6899,0,0,4570
"Idaho Falls","ID",8068,7904,164,0,0
"Indianapolis","IN",189592,182753,1959,1757,3123
"Iowa City","IA",16998,9802,0,0,7196
"Ithaca","NY",3117,2700,100,0,317
"Jackson","MI",4235,3395,0,0,840
"Jackson","MS",52420,51095,0,330,995
"Jackson","TN",7570,7570,0,0,0
"Jacksonville","FL",239800,165676,427,3200,70497
"Jacksonville","NC",21537,9867,0,0,11670
"Janesville","WI",7269,6659,210,225,175
"Jefferson City","MO",3824,3824,0,0,0
"Johnson City","TN",16562,16562,0,0,0
"Johnstown","PA",298,298,0,0,0
"Jonesboro","AR",4668,4587,81,0,0
"Joplin","MO",1720,1720,0,0,0
